filename,tag
ancient_balinese_water_temple_statues_spring_fountain_pool.png,other
ancient_stone_temple_entrance_carved_face_mossy.png,other
balinese_temple_traditional_thatched_roof_open_pavilion_southeast_asia.png,other
beach_surfing_lesson_group_people_surfboards_umbrellas_sand.png,surf
city_lights_view_from_mountain_night_sky_stars_glowing.png,mtn
couple_kissing_on_red_atv_vehicle_in_green_field.png,atv
couple_riding_red_atv_helmets_green_bali_adventure_sign.png,atv
couple_riding_red_atv_helmets_outdoor_greenery_path.png,atv
couple_riding_red_atv_through_muddy_forest_trail.png,atv
couple_watching_sunrise_volcano_view_hiking_mountain_trekking.png,mtn
dramatic_sunset_over_dark_clouds_colorful_sky_layers_evening.png,mtn
elephant_spraying_water_two_people_riding_in_river.png,ubud
elephant_with_rider_and_tourist_in_safari_hat.png,ubud
group_enjoying_atv_adventure_near_waterfalls_tropical_forest.png,atv
group_hikers_descending_mountain_rocky_path_foggy_forest.png,mtn
group_of_hikers_climbing_rocky_misty_mountain_trail.png,mtn
group_of_hikers_descending_rocky_mountain_trail_foggy_weather.png,mtn
group_of_hikers_five_people_trekking_sticks_balinese_temple_background.png,mtn
group_of_hikers_posing_with_mountain_view_morning.png,mtn
group_of_people_enjoying_ocean_view_on_rocky_cliff.png,nusa
group_of_people_enjoying_white_water_rafting_adventure.png,rafting
group_of_people_preparing_for_surfing_lesson_on_beach.png,surf
group_of_people_riding_atv_touring_jungle_cave_waterfalls.png,atv
group_of_people_riding_red_atv_quad_bikes_on_rural_path.png,atv
group_of_people_tourists_wearing_orange_sashes_near_cliffside_path.png,ubud
group_of_people_white_water_rafting_in_river_adventure.png,rafting
group_practicing_surfing_skills_on_sand_with_blue_boards.png,surf
group_riding_atv_quad_bikes_jungle_waterfalls_dragon_cave.png,atv
group_surfing_lesson_beach_yoga_pose_training_indoor_surfboards.png,surf
gunung_agung_mountain_sunrise_clouds_volcanic_silhouette_indonesia.png,mtn
hikers_and_dog_traversing_misty_rocky_mountain_path.png,mrn
illuminated_balinese_gate_street_lamp_night_road_crosswalk.png,other
illuminated_traditional_gate_archway_night_empty_road_trees.png,other
man_and_guide_riding_elephant_in_tropical_forest_tourism.png,ubud
man_hiker_wearing_headlamp_night_cityscape_view_winter_clothing.png,mtn
man_praying_at_shrine_inside_cave_yellow_cloth_decorations.png,other
man_sitting_on_rock_nighttime_city_lights_headlamp_backpack.png,mtn
mountain_volcano_crater_with_smoke_and_flower_offerings_sunset.png,mtn
narrow_stone_stairs_between_cliffs_forest_hiker.png,ubud
natural_stone_arch_bridge_over_blue_ocean_water_cliffside_view_grass.png,nusa
night_climbing_on_rocky_surface_people_wearing_headlamps.png,mtn
night_rock_climbing_two_people_outdoor_adventure.png,mtn
nighttime_indonesian_temple_gate_staircase_mystical_glow_person.png,mtn
nighttime_rock_climbing_group_hiking_people_headlamps_terrain.png,mtn
people_enjoying_atv_ride_under_waterfall_in_forest.png,atv
people_learning_surfing_on_surfboards_on_sandy_beach.png,surf
people_practicing_surfing_on_sand_surfboard_training_beach.png,surf
people_riding_elephant_spraying_water_in_pond_outdoor.png,ubud
people_riding_elephant_tusks_water_park_sunny_day.png,ubud
people_riding_red_atv_vehicles_helmeted_outdoor_pathway_greenery.png,atv
person_in_orange_jacket_climbing_rocky_mountain_slope.png,mtn
person_on_large_swing_with_two_guides_tropical_forest_background.png,ubud
